"ID";"Requisito";"Componentes integrados";"Escenario";"Precondición";"Resultado esperado";"Resultado obtenido";"Estado";"Defecto";"Evidencia"
"PI-18";"RN-06";"MockMvc + Generador de Archivos + Testcontainers";"Administrador puede abrir reportes";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-19";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Registro con error conserva los datos no sensibles";"Contexto @SpringBootTest cargado sin sesión y contenedor de BD activo";"MockMvc recibe HTTP 4xx/302 confirmando la denegación de la petición";"MockMvc verificó el código de error y el bloqueo en la capa de seguridad/controlador";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-20";"RN-06";"MockMvc + Generador de Archivos + Testcontainers";"Residente no puede abrir reportes";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-21";"RN-06";"MockMvc + Generador de Archivos + Testcontainers";"Reportes muestra error para fecha invalida";"Contexto @SpringBootTest cargado sin sesión y contenedor de BD activo";"MockMvc recibe HTTP 4xx/302 confirmando la denegación de la petición";"MockMvc verificó el código de error y el bloqueo en la capa de seguridad/controlador";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-22";"RN-05";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Porteria no puede consultar pagos ni reservas";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-23";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Auditoria registra mutaciones y solo es visible para admin";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-24";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador puede renderizar dashboard con incidencias";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-25";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Porteria puede renderizar dashboard e historial con movimientos";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-26";"RN-02";"Spring Security + MockMvc + Servicio + Testcontainers";"Login real acepta correo con mayusculas y espacios";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-27";"RN-05";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador puede renderizar pagos y reservas con registros";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-28";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Registro publico requiere codigo residencial valido";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-29";"RN-03";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Residente puede abrir su modulo de vehiculos";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-30";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador no puede usar el modulo exclusivo del residente";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-31";"RN-01";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Primer ingreso solo puede continuar en perfil hasta cambiar password";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-32";"RN-02";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Usuario puede abrir su bandeja de notificaciones";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-33";"RN-03";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Edicion de parqueadero conserva el apartamento seleccionado";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-34";"RN-05";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador puede renderizar pagos sin registros";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-35";"RN-03";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador puede renderizar parqueaderos con apartamento";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 200 OK con el payload JSON o la vista correcta";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-36";"RN-02";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Administrador puede crear residente con cuenta desde su formulario";"Usuario ADMIN autenticado vía MockMvc y contenedor Testcontainers inicializado";"MockMvc recibe HTTP 2xx/302 y los datos persisten en la BD del contenedor";"Se confirmó la persistencia cruzando la capa web hasta el contenedor Docker";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-37";"RN-05";"Controlador (MockMvc) + Servicio + Testcontainers (BD)";"Residente solo puede ver el detalle de sus pagos";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc valida que la petición atraviesa todas las capas exitosamente";"Se validó la estructura de la respuesta HTTP devuelta por el servidor integrado";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
"PI-38";"RN-06";"MockMvc + Generador de Archivos + Testcontainers";"Pdf rechaza rango de fechas invertido";"Contexto @SpringBootTest completo levantado y Testcontainers en ejecución";"MockMvc recibe HTTP 4xx/302 confirmando la denegación de la petición";"MockMvc verificó el código de error y el bloqueo en la capa de seguridad/controlador";"APROBADA";"—";"surefire-reports/TEST-com.nexur.nexur.NexurIntegrationTest.xml"
